id,n_vulns,vulns,total_cvss,max_cvss,site,Domain Name,Domain Type,Agency,Organization,City,State,Security Contact Email
7523,0,set(),0,0,WWW.TULIA-TX.GOV,TULIA-TX.GOV,City,Non-Federal Agency,Town of Tulla,Tulia,TX,(blank)
7524,0,set(),0,0,WWW.TUMWATERWA.GOV,TUMWATERWA.GOV,City,Non-Federal Agency,City of Tumwater,Tumwater,WA,(blank)
7525,2,"{'CVE-2018-15919', 'CVE-2017-15906'}",10,5,WWW.TUPELOMS.GOV,TUPELOMS.GOV,City,Non-Federal Agency,City Of Tupelo,Tupelo,MS,(blank)
7526,0,set(),0,0,WWW.TUSCALOOSA-AL.GOV,TUSCALOOSA-AL.GOV,City,Non-Federal Agency,"City of Tuscaloosa, AL",Tuscaloosa,AL,(blank)
7527,0,set(),0,0,WWW.TVA.GOV,TVA.GOV,Federal Agency - Executive,Tennessee Valley Authority,Tennessee Valley Authority,Knoxville,TN,(blank)
7528,0,set(),0,0,WWW.TVAOIG.GOV,TVAOIG.GOV,Federal Agency - Executive,Tennessee Valley Authority,Tennessee Valley Authority Office of Inspector General,Knoxville,TN,(blank)
7529,0,set(),0,0,WWW.TWOHARBORSMN.GOV,TWOHARBORSMN.GOV,City,Non-Federal Agency,CITY OF TWO HARBORS,TWO HARBORS,MN,(blank)
7530,0,set(),0,0,WWW.TXBD.GOV,TXBD.GOV,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7531,0,set(),0,0,WWW.TXBULLIONDEPOSITORY.GOV,TXBULLIONDEPOSITORY.GOV,State/Local Govt,Non-Federal Agency,Texas Comptroller of Public Accounts,Austin,TX,(blank)
7532,41,"{'CVE-2018-6379', 'CVE-2019-7740', 'CVE-2019-7741', 'CVE-2018-11323', 'CVE-2019-6264', 'CVE-2017-7983', 'CVE-2018-11325', 'CVE-2017-9934', 'CVE-2018-15880', 'CVE-2017-7986', 'CVE-2018-15881', 'CVE-2017-11364', 'CVE-2019-7742', 'CVE-2018-6378', 'CVE-2015-8562', 'CVE-2018-6380', 'CVE-2018-11327', 'CVE-2019-7744', 'CVE-2018-6377', 'CVE-2019-6261', 'CVE-2017-11612', 'CVE-2018-11321', 'CVE-2017-9933', 'CVE-2019-7739', 'CVE-2018-17859', 'CVE-2018-17858', 'CVE-2018-11322', 'CVE-2017-7988', 'CVE-2019-6263', 'CVE-2019-7743', 'CVE-2018-11326', 'CVE-2018-17856', 'CVE-2018-17855', 'CVE-2018-11324', 'CVE-2018-12712', 'CVE-2018-15882', 'CVE-2018-6376', 'CVE-2018-12711', 'CVE-2018-11328', 'CVE-2019-6262', 'CVE-2017-14596'}",202.7,7.5,WWW.TXDMV.GOV,TXDMV.GOV,State/Local Govt,Non-Federal Agency,TEXAS DEPARTMENT OF MOTOR VEHICLES,Austin,TX,(blank)
7533,0,set(),0,0,WWW.TXDOT.GOV,TXDOT.GOV,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7534,0,set(),0,0,WWW.TYNGSBOROUGHMA.GOV,TYNGSBOROUGHMA.GOV,City,Non-Federal Agency,"Town of Tyngsborough, MA",Tyngsborough,MA,(blank)
7535,0,set(),0,0,WWW.UCR.GOV,UCR.GOV,Interstate Agency,Non-Federal Agency,Unified Carrier Registration Plan,Atlanta,GA,(blank)
7536,0,set(),0,0,WWW.UCTX.GOV,UCTX.GOV,City,Non-Federal Agency,City of Universal City,Universal City,TX,(blank)
7537,0,set(),0,0,WWW.UKB-NSN.GOV,UKB-NSN.GOV,Native Sovereign Nation,Indian Affairs,United Keetoowah Band of Cherokee Indians in Oklahoma,Tahlequah,OK,(blank)
7538,3,"{'CVE-2018-15919', 'CVE-2017-15906', 'CVE-2018-15473'}",15,5,WWW.ULSTERCOUNTYNY.GOV,ULSTERCOUNTYNY.GOV,County,Non-Federal Agency,County of Ulster,Kingston,NY,cfio@co.ulster.ny.us
7539,10,"{'CVE-2017-15715', 'CVE-2018-1333', 'CVE-2018-1283', 'CVE-2019-0211', 'CVE-2017-9798', 'CVE-2018-1312', 'CVE-2018-17199', 'CVE-2018-11763', 'CVE-2017-15710', 'CVE-2016-8858'}",56.4,7.8,WWW.UNIONBEACHNJ.GOV,UNIONBEACHNJ.GOV,City,Non-Federal Agency,Union Beach Borough,Union Beach,NJ,(blank)
7540,0,set(),0,0,WWW.UNIONCITY-IN.GOV,UNIONCITY-IN.GOV,City,Non-Federal Agency,City of Union City,Union City,IN,(blank)
7541,0,set(),0,0,WWW.UNIONCOUNTYGA.GOV,UNIONCOUNTYGA.GOV,County,Non-Federal Agency,Union County Commissioner,Blairsveille,GA,(blank)
7542,15,"{'CVE-2017-15715', 'CVE-2017-3167', 'CVE-2018-1333', 'CVE-2018-1283', 'CVE-2019-0211', 'CVE-2017-9798', 'CVE-2018-1312', 'CVE-2018-17199', 'CVE-2017-3169', 'CVE-2017-7659', 'CVE-2018-11763', 'CVE-2017-7679', 'CVE-2017-15710', 'CVE-2017-9788', 'CVE-2017-7668'}",90,7.5,WWW.UNIONGAPWA.GOV,UNIONGAPWA.GOV,City,Non-Federal Agency,City of Union Gap,Union Gap,WA,(blank)
7543,0,set(),0,0,WWW.UNIONREPORTS.GOV,UNIONREPORTS.GOV,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7544,0,set(),0,0,WWW.UNITEDSTATESCONGRESS.GOV,UNITEDSTATESCONGRESS.GOV,Federal Agency - Legislative,Library of Congress,Library of Congress,Washington,DC,(blank)
7545,0,set(),0,0,WWW.UNIVERSALCITYTEXAS.GOV,UNIVERSALCITYTEXAS.GOV,City,Non-Federal Agency,City of Universal City,Universal City,TX,(blank)
7546,0,set(),0,0,WWW.UNLOCKTALENT.GOV,UNLOCKTALENT.GOV,Federal Agency - Executive,Office of Personnel Management,U.S. Office of Personnel Management,Washington,DC,(blank)
7547,0,set(),0,0,WWW.UPPERUWCHLAN-PA.GOV,UPPERUWCHLAN-PA.GOV,City,Non-Federal Agency,Upper Uwchlan Township,Chester Springs,PA,(blank)
7548,0,set(),0,0,WWW.URBANWATERS.GOV,URBANWATERS.GOV,Federal Agency - Executive,Environmental Protection Agency,U.S. EPA ,Washington,DC,(blank)
7549,0,set(),0,0,WWW.US-CERT.GOV,US-CERT.GOV,Federal Agency - Executive,Department of Homeland Security,US-CERT,Washington,DC,(blank)
7550,0,set(),0,0,WWW.US.GOV,US.GOV,Federal Agency - Executive,General Services Administration,Office of Citizen Services and Communications,Washington,DC,(blank)
7551,0,set(),0,0,WWW.US41WISCONSIN.GOV,US41WISCONSIN.GOV,State/Local Govt,Non-Federal Agency,Wisconsin Department of Transportation,Madison,WI,(blank)
7552,0,set(),0,0,WWW.USA.GOV,USA.GOV,Federal Agency - Executive,General Services Administration,Office of Citizen Services and Communications,Washington,DC,(blank)
7553,0,set(),0,0,WWW.USABILITY.GOV,USABILITY.GOV,Federal Agency - Executive,Department of Health and Human Services,Health and Human Services,Washington,DC,(blank)
7554,0,set(),0,0,WWW.USADF.GOV,USADF.GOV,Federal Agency - Executive,United States African Development Foundation,African Development Foundation,Washington,DC,schi@usadf.gov
7555,0,set(),0,0,WWW.USAGM.GOV,USAGM.GOV,Federal Agency - Executive,Broadcasting Board of Governors,Broadcasting Board of Governors,Washington,DC,(blank)
7556,0,set(),0,0,WWW.USAGOV.GOV,USAGOV.GOV,Federal Agency - Executive,General Services Administration,Office of Citizen Services and Communications,Washington,DC,(blank)
7557,0,set(),0,0,WWW.USAID.GOV,USAID.GOV,Federal Agency - Executive,U.S. Agency for International Development,United States Agency for International Development,Washington,DC,(blank)
7558,0,set(),0,0,WWW.USAJOBS.GOV,USAJOBS.GOV,Federal Agency - Executive,Office of Personnel Management,U. S. Office of Personnel Management,Washington,DC,(blank)
7559,10,"{'CVE-2017-15906', 'CVE-2016-0777', 'CVE-2011-4327', 'CVE-2014-1692', 'CVE-2012-0814', 'CVE-2016-10708', 'CVE-2010-5107', 'CVE-2010-4755', 'CVE-2010-4478', 'CVE-2011-5000'}",47.1,7.5,WWW.USALEARNING.GOV,USALEARNING.GOV,Federal Agency - Executive,Office of Personnel Management,Office of e-Government Initiatives,Washington,DC,(blank)
7560,0,set(),0,0,WWW.USANDC.GOV,USANDC.GOV,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7561,0,set(),0,0,WWW.USAP.GOV,USAP.GOV,Federal Agency - Executive,National Science Foundation,"National Science Foundation, Office of Polar Programs",Arlington,VA,(blank)
7562,0,set(),0,0,WWW.USASEANCONNECT.GOV,USASEANCONNECT.GOV,Federal Agency - Executive,Department of State,U.S. - ASEAN Connect,Jakarta,Jakarta,(blank)
7563,0,set(),0,0,WWW.USASPENDING.GOV,USASPENDING.GOV,Federal Agency - Executive,Department of the Treasury,"General Services Administration, Office of Citizen Services",Washington,DC,(blank)
7564,0,set(),0,0,WWW.USASTAFFING.GOV,USASTAFFING.GOV,Federal Agency - Executive,Office of Personnel Management,Network Management Group,Macon,GA,(blank)
7565,0,set(),0,0,WWW.USBANKRUPTCY.GOV,USBANKRUPTCY.GOV,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7566,0,set(),0,0,WWW.USBG.GOV,USBG.GOV,Federal Agency - Legislative,Architect of the Capitol,AOC,Washington,DC,(blank)
7567,0,set(),0,0,WWW.USBR.GOV,USBR.GOV,Federal Agency - Executive,Department of the Interior,Bureau of Reclamation,Denver,CO,(blank)
7568,0,set(),0,0,WWW.USCAPITOL.GOV,USCAPITOL.GOV,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7569,0,set(),0,0,WWW.USCAPITOLPOLICE.GOV,USCAPITOLPOLICE.GOV,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7570,0,set(),0,0,WWW.USCC.GOV,USCC.GOV,Federal Agency - Legislative,U.S.-China Economic and Security Review Commission,U.S. - China Economic and Security Review Commission,Washington,DC,(blank)
7571,0,set(),0,0,WWW.USCCR.GOV,USCCR.GOV,Federal Agency - Executive,U.S. Commission on Civil Rights,U.S. Commission on Civil Rights,Washington,DC,(blank)
7572,0,set(),0,0,WWW.USCIS.GOV,USCIS.GOV,Federal Agency - Executive,Department of Homeland Security,USCIS,Washington,DC,(blank)
7573,0,set(),0,0,WWW.USCODE.GOV,USCODE.GOV,Federal Agency - Legislative,Government Publishing Office,United States Government Publishing Office,Washington,DC,(blank)
7574,0,set(),0,0,WWW.USCONGRESS.GOV,USCONGRESS.GOV,Federal Agency - Legislative,Library of Congress,Library of Congress,Washington,DC,(blank)
7575,0,set(),0,0,WWW.USCOURTS.GOV,USCOURTS.GOV,Federal Agency - Judicial,U.S. Courts,U.S. Courts,Washington,DC,(blank)
7576,0,set(),0,0,WWW.USCP.GOV,USCP.GOV,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7577,0,set(),0,0,WWW.USCURRENCY.GOV,USCURRENCY.GOV,Federal Agency - Executive,Federal Reserve Board of Governors,Federal Reserve Board,Washington,DC,(blank)
7578,0,set(),0,0,WWW.USDA.GOV,USDA.GOV,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7579,0,set(),0,0,WWW.USDEBITCARD.GOV,USDEBITCARD.GOV,Federal Agency - Executive,Department of the Treasury,Department of the Treasury - FMS,Mclean,VA,(blank)
7580,0,set(),0,0,WWW.USDIGITALSERVICE.GOV,USDIGITALSERVICE.GOV,Federal Agency - Executive,Executive Office of the President,United States Digital Service,Washington,DC,(blank)
7581,0,set(),0,0,WWW.USDS.GOV,USDS.GOV,Federal Agency - Executive,Executive Office of the President,United States Digital Service,Washington,DC,(blank)
7582,0,set(),0,0,WWW.USEMBASSY.GOV,USEMBASSY.GOV,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7583,0,set(),0,0,WWW.USGCRP.GOV,USGCRP.GOV,Federal Agency - Executive,United States Global Change Research Program,U.S. Global Change Research Program,Washington,DC,(blank)
7584,0,set(),0,0,WWW.USGOVERNMENTMANUAL.GOV,USGOVERNMENTMANUAL.GOV,Federal Agency - Legislative,Government Publishing Office,Office of Federal Register (NF),College Park,MD,(blank)
7585,0,set(),0,0,WWW.USGS.GOV,USGS.GOV,Federal Agency - Executive,Department of the Interior,U.S. Geological Survey,Reston,VA,security@usgs.gov
7586,0,set(),0,0,WWW.USIP.GOV,USIP.GOV,Federal Agency - Executive,United States Institute of Peace,GSA/United States Institute of Peace,Washington,DC,(blank)
7587,0,set(),0,0,WWW.USITC.GOV,USITC.GOV,Federal Agency - Executive,United States International Trade Commission,United States International Trade Commission,Washington,DC,(blank)
7588,0,set(),0,0,WWW.USMINT.GOV,USMINT.GOV,Federal Agency - Executive,Department of the Treasury,Department of the Treasury - U.S. Mint,Washington,DC,(blank)
7589,0,set(),0,0,WWW.USMISSION.GOV,USMISSION.GOV,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7590,0,set(),0,0,WWW.USPIS.GOV,USPIS.GOV,Federal Agency - Executive,United States Postal Service,U.S. Postal Service,Arlington,VA,(blank)
7591,0,set(),0,0,WWW.USPROBATION.GOV,USPROBATION.GOV,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7592,0,set(),0,0,WWW.USPS.GOV,USPS.GOV,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7593,0,set(),0,0,WWW.USPSINNOVATES.GOV,USPSINNOVATES.GOV,Federal Agency - Executive,United States Postal Service,U. S. Postal Service,Washington,DC,(blank)
7594,29,"{'CVE-2019-6339', 'CVE-2019-9637', 'CVE-2019-6341', 'CVE-2018-7600', 'CVE-2019-9641', 'CVE-2018-7584', 'CVE-2019-9020', 'CVE-2018-19520', 'CVE-2018-10545', 'CVE-2018-10549', 'CVE-2019-6977', 'CVE-2018-10547', 'CVE-2019-9021', 'CVE-2019-6338', 'CVE-2019-9638', 'CVE-2018-7602', 'CVE-2018-10546', 'CVE-2018-19935', 'CVE-2018-19395', 'CVE-2018-14883', 'CVE-2019-9024', 'CVE-2019-9639', 'CVE-2018-19396', 'CVE-2018-19518', 'CVE-2018-10548', 'CVE-2019-9023', 'CVE-2018-15132', 'CVE-2018-20783', 'CVE-2018-17082'}",173.6,8.5,WWW.USPSOIG.GOV,USPSOIG.GOV,Federal Agency - Executive,"United States Postal Service, Office of Inspector General",USPS Office of Inspector General,Arlington,VA,(blank)
7595,0,set(),0,0,WWW.USPTO.GOV,USPTO.GOV,Federal Agency - Executive,Department of Commerce,USPTO,Washington,DC,C32@uspto.gov
7596,0,set(),0,0,WWW.USSC.GOV,USSC.GOV,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7597,0,set(),0,0,WWW.USSM.GOV,USSM.GOV,Federal Agency - Executive,General Services Administration,US General Services Administration,Washington,DC,(blank)
7598,5,"{'CVE-2010-3972', 'CVE-2012-2531', 'CVE-2010-1899', 'CVE-2010-1256', 'CVE-2010-2730'}",34.2,10,WWW.USTAXCOURT.GOV,USTAXCOURT.GOV,Federal Agency - Judicial,U.S. Courts,United States Tax Court,Washington,DC,(blank)
7599,0,set(),0,0,WWW.USTDA.GOV,USTDA.GOV,Federal Agency - Executive,United States Trade and Development Agency,US Trade and Development Agency,Arlington,VA,(blank)
7600,0,set(),0,0,WWW.USTR.GOV,USTR.GOV,Federal Agency - Executive,Executive Office of the President,United States Trade Representative,Washington,DC,(blank)
7601,0,set(),0,0,WWW.USTREAS.GOV,USTREAS.GOV,Federal Agency - Executive,Department of the Treasury,TCS,McLean,VA,(blank)
7602,0,set(),0,0,WWW.UTAH.GOV,UTAH.GOV,State/Local Govt,Non-Federal Agency,State of Utah,Salt Lake City,UT,(blank)
7603,0,set(),0,0,WWW.UTAHCOUNTY.GOV,UTAHCOUNTY.GOV,County,Non-Federal Agency,Utah County Government,Provo,UT,(blank)
7604,24,"{'CVE-2019-9637', 'CVE-2019-9641', 'CVE-2019-9020', 'CVE-2018-19520', 'CVE-2018-10545', 'CVE-2018-10549', 'CVE-2019-6977', 'CVE-2018-10547', 'CVE-2019-9021', 'CVE-2019-9638', 'CVE-2017-16642', 'CVE-2018-10546', 'CVE-2013-6420', 'CVE-2018-19935', 'CVE-2018-19395', 'CVE-2018-14883', 'CVE-2019-9024', 'CVE-2019-9639', 'CVE-2018-19396', 'CVE-2018-10548', 'CVE-2019-9023', 'CVE-2018-15132', 'CVE-2018-20783', 'CVE-2018-17082'}",138.1,7.5,WWW.UTAHFIREINFO.GOV,UTAHFIREINFO.GOV,Federal Agency - Executive,Department of the Interior,Bureau of Land Management - Utah Fire Info Domain,Denver,CO,(blank)
7605,0,set(),0,0,WWW.UTAHTRUST.GOV,UTAHTRUST.GOV,State/Local Govt,Non-Federal Agency,Utah Local Governments Trust,North Salt Lake,UT,info@utahtrust.gov
7606,0,set(),0,0,WWW.UTCOURTS.GOV,UTCOURTS.GOV,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7607,0,set(),0,0,WWW.VA.GOV,VA.GOV,Federal Agency - Executive,Department of Veterans Affairs,Department of Veterans Affairs,Washington,DC,(blank)
7608,2,"{'CVE-2019-6340', 'CVE-2019-6341'}",10.3,6.8,WWW.VACCINES.GOV,VACCINES.GOV,Federal Agency - Executive,Department of Health and Human Services,Department of Health and Human Services,Washington,DC,(blank)
7609,0,set(),0,0,WWW.VACOURTS.GOV,VACOURTS.GOV,State/Local Govt,Non-Federal Agency,Supreme Court of Virginia,Richmond,VA,security@vacourts.gov
7610,0,set(),0,0,WWW.VAEMERGENCY.GOV,VAEMERGENCY.GOV,State/Local Govt,Non-Federal Agency,Virginia Department of Emergency Management,Richmond,VA,(blank)
7611,0,set(),0,0,WWW.VALDEZAK.GOV,VALDEZAK.GOV,City,Non-Federal Agency,City of Valdez,Valdez,AK,(blank)
7612,0,set(),0,0,WWW.VANMETERIA.GOV,VANMETERIA.GOV,City,Non-Federal Agency,"City of Van Meter, Iowa",Van Meter,IA,(blank)
7613,31,"{'CVE-2017-3167', 'CVE-2012-0883', 'CVE-2019-6340', 'CVE-2012-4557', 'CVE-2011-3192', 'CVE-2014-0231', 'CVE-2010-1452', 'CVE-2016-8612', 'CVE-2019-6341', 'CVE-2011-3607', 'CVE-2012-0053', 'CVE-2013-2249', 'CVE-2011-3368', 'CVE-2010-2068', 'CVE-2016-4975', 'CVE-2013-1862', 'CVE-2017-7679', 'CVE-2012-4558', 'CVE-2011-4317', 'CVE-2011-3348', 'CVE-2012-3499', 'CVE-2011-3639', 'CVE-2017-7668', 'CVE-2013-6438', 'CVE-2011-0419', 'CVE-2017-3169', 'CVE-2012-2687', 'CVE-2014-0098', 'CVE-2011-4415', 'CVE-2013-1896', 'CVE-2012-0031'}",157.4,7.8,WWW.VATAX.GOV,VATAX.GOV,State/Local Govt,Non-Federal Agency,VA DEPT OF TAXATION,RICHMOND,VA,security@tax.virginia.gov
7614,0,set(),0,0,WWW.VAWILDLIFE.GOV,VAWILDLIFE.GOV,State/Local Govt,Non-Federal Agency,Virginia Department of Game & Inland Fisheries,Henrico,VA,(blank)
7615,0,set(),0,0,WWW.VBHIL.GOV,VBHIL.GOV,City,Non-Federal Agency,Village of Barrington Hills,Barrington Hills,IL,(blank)
7616,0,set(),0,0,WWW.VENETAOREGON.GOV,VENETAOREGON.GOV,City,Non-Federal Agency,City of Veneta,Veneta,OR,(blank)
7617,0,set(),0,0,WWW.VERMONT.GOV,VERMONT.GOV,State/Local Govt,Non-Federal Agency,VT Dept of Information & Innovation,Montpelier,VT,(blank)
7618,3,"{'CVE-2019-6338', 'CVE-2019-6339', 'CVE-2019-6341'}",17,7.5,WWW.VERMONTHEALTHCONNECT.GOV,VERMONTHEALTHCONNECT.GOV,State/Local Govt,Non-Federal Agency,State of Vermont Dept of Information & Innovation,Montpelier,VT,(blank)
7619,3,"{'CVE-2019-6338', 'CVE-2019-6339', 'CVE-2019-6341'}",17,7.5,WWW.VERMONTTREASURER.GOV,VERMONTTREASURER.GOV,State/Local Govt,Non-Federal Agency,Office of the State Treasurer c/o VT Dept of Information & Innovation,Montpelier,VT,(blank)
7620,26,"{'CVE-2017-9798', 'CVE-2014-0231', 'CVE-2016-8612', 'CVE-2014-8109', 'CVE-2018-15919', 'CVE-2017-15906', 'CVE-2014-0226', 'CVE-2018-1312', 'CVE-2015-3185', 'CVE-2016-4975', 'CVE-2017-7679', 'CVE-2017-15710', 'CVE-2016-2161', 'CVE-2017-15715', 'CVE-2014-0118', 'CVE-2014-3523', 'CVE-2013-4352', 'CVE-2013-6438', 'CVE-2018-1283', 'CVE-2018-17199', 'CVE-2015-3184', 'CVE-2016-0736', 'CVE-2014-0098', 'CVE-2016-8743', 'CVE-2017-9788', 'CVE-2014-0117'}",131.9,7.5,WWW.VERNON-CT.GOV,VERNON-CT.GOV,City,Non-Federal Agency,Town of Vernon Connecticut,Vernon,CT,(blank)
7621,0,set(),0,0,WWW.VERNONIA-OR.GOV,VERNONIA-OR.GOV,City,Non-Federal Agency,City of Vernonia,Vernonia,OR,(blank)
7622,0,set(),0,0,WWW.VERNONTX.GOV,VERNONTX.GOV,City,Non-Federal Agency,City of Vernon,Vernon,TX,(blank)
7623,0,set(),0,0,WWW.VETERANS.GOV,VETERANS.GOV,Federal Agency - Executive,Department of Labor,Department of Labor,Washington,DC,(blank)
7624,0,set(),0,0,WWW.VETS.GOV,VETS.GOV,Federal Agency - Executive,Department of Veterans Affairs,U.S. Department of Veterans Affairs,Washington,DC,yu.ning@va.gov
7625,0,set(),0,0,WWW.VI.GOV,VI.GOV,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7626,0,set(),0,0,WWW.VICTORVILLECA.GOV,VICTORVILLECA.GOV,City,Non-Federal Agency,City of Victorville,Victorville,CA,(blank)
7627,0,set(),0,0,WWW.VIDOL.GOV,VIDOL.GOV,State/Local Govt,Non-Federal Agency,VI Department of Labor,St. Thomas,VI,(blank)
7628,0,set(),0,0,WWW.VIENNAVA.GOV,VIENNAVA.GOV,City,Non-Federal Agency,TOWN OF VIENNA (va) GOVERNMENT,VIENNA,VA,(blank)
7629,0,set(),0,0,WWW.VILASCOUNTYWI.GOV,VILASCOUNTYWI.GOV,County,Non-Federal Agency,Vilas County Wisconsin,Eagle River,WI,(blank)
7630,0,set(),0,0,WWW.VILLAGEOFBABYLONNY.GOV,VILLAGEOFBABYLONNY.GOV,City,Non-Federal Agency,Village of Babylon,Babylon,NY,(blank)
7631,0,set(),0,0,WWW.VILLAGEOFCAMILLUS-NY.GOV,VILLAGEOFCAMILLUS-NY.GOV,City,Non-Federal Agency,VILLAGE OF CAMILLUS,CAMILLUS,NY,(blank)
7632,0,set(),0,0,WWW.VILLAGEOFDUNLAP-IL.GOV,VILLAGEOFDUNLAP-IL.GOV,City,Non-Federal Agency,Village of Dunlap,Dunlap,IL,(blank)
7633,0,set(),0,0,WWW.VILLAGEOFGOSHEN-NY.GOV,VILLAGEOFGOSHEN-NY.GOV,City,Non-Federal Agency,Village of Goshen,Goshen,NY,(blank)
7634,0,set(),0,0,WWW.VILLAGEOFMCCOMBOH.GOV,VILLAGEOFMCCOMBOH.GOV,City,Non-Federal Agency,Village of McComb,McComb,OH,(blank)
7635,0,set(),0,0,WWW.VILLAGEOFNEWHAVEN-MI.GOV,VILLAGEOFNEWHAVEN-MI.GOV,City,Non-Federal Agency,Village of New Haven,New Haven,MI,(blank)
7636,20,"{'CVE-2017-3167', 'CVE-2016-4979', 'CVE-2017-15715', 'CVE-2018-1333', 'CVE-2017-15710', 'CVE-2018-1283', 'CVE-2019-0211', 'CVE-2017-9798', 'CVE-2018-1312', 'CVE-2016-1546', 'CVE-2016-8743', 'CVE-2018-17199', 'CVE-2016-4975', 'CVE-2017-3169', 'CVE-2018-11763', 'CVE-2017-7679', 'CVE-2016-8612', 'CVE-2017-9788', 'CVE-2016-8740', 'CVE-2017-7668'}",111.9,7.5,WWW.VILLAGEOFNEWHOLLAND-OH.GOV,VILLAGEOFNEWHOLLAND-OH.GOV,City,Non-Federal Agency,The Village of New Holland,New Holland,OH,fiscalofficer@villageofnewholland-oh.gov
7637,0,set(),0,0,WWW.VILLAGEOFNEWTOWNOHIO.GOV,VILLAGEOFNEWTOWNOHIO.GOV,City,Non-Federal Agency,Village of Newtown,Newtown,OH,(blank)
7638,0,set(),0,0,WWW.VILLAGEOFPENINSULA-OH.GOV,VILLAGEOFPENINSULA-OH.GOV,City,Non-Federal Agency,Village of Peninsula,Peninsula,OH,(blank)
7639,11,"{'CVE-2018-10101', 'CVE-2018-20151', 'CVE-2019-9787', 'CVE-2018-20149', 'CVE-2018-20152', 'CVE-2018-12895', 'CVE-2018-20147', 'CVE-2019-8942', 'CVE-2018-20148', 'CVE-2018-20153', 'CVE-2018-20150'}",58.9,7.5,WWW.VILLAGEOFPHOENIX-NY.GOV,VILLAGEOFPHOENIX-NY.GOV,City,Non-Federal Agency,Village of Phoenix,Phoenix,NY,(blank)
7640,0,set(),0,0,WWW.VINTONCOUNTYOHIO.GOV,VINTONCOUNTYOHIO.GOV,County,Non-Federal Agency,Vinton County Commissioner's Office,McArthur,OH,(blank)
7641,0,set(),0,0,WWW.VIRGINIA.GOV,VIRGINIA.GOV,State/Local Govt,Non-Federal Agency,Commonwealth of Virginia,Chester,VA,(blank)
7642,0,set(),0,0,WWW.VIRGINIACAPITAL.GOV,VIRGINIACAPITAL.GOV,State/Local Govt,Non-Federal Agency,Virginia House of Delegates,Richmond,VA,(blank)
7643,0,set(),0,0,WWW.VIRGINIACAPITOL.GOV,VIRGINIACAPITOL.GOV,State/Local Govt,Non-Federal Agency,Virginia House of Delegates,Richmond,VA,(blank)
7644,0,set(),0,0,WWW.VIRGINIAWILDLIFE.GOV,VIRGINIAWILDLIFE.GOV,State/Local Govt,Non-Federal Agency,Virginia Department of Game & Inland Fisheries,Henrico,VA,(blank)
7645,5,"{'CVE-2019-0211', 'CVE-2018-17189', 'CVE-2018-17199', 'CVE-2019-0190', 'CVE-2019-0215'}",28.2,7.2,WWW.VISITIDAHO.GOV,VISITIDAHO.GOV,State/Local Govt,Non-Federal Agency,State of Idaho Department of Commerce and Labor,Boise,ID,(blank)
7646,0,set(),0,0,WWW.VISITNH.GOV,VISITNH.GOV,State/Local Govt,Non-Federal Agency,Dept. of Resources and Economic Dev. - State of NH,Concord,NH,opensrs@silvertech.com
7647,0,set(),0,0,WWW.VISITTHECAPITAL.GOV,VISITTHECAPITAL.GOV,ERROR,ERROR,ERROR,ERROR,ERROR,ERROR
7648,0,set(),0,0,WWW.VISITWYO.GOV,VISITWYO.GOV,State/Local Govt,Non-Federal Agency,State of Wyoming ,Cheyenne,WY,(blank)
7649,0,set(),0,0,WWW.VISITWYOMING.GOV,VISITWYOMING.GOV,State/Local Govt,Non-Federal Agency,State of Wyoming,Cheyenne,WY,(blank)
7650,2,"{'CVE-2018-15919', 'CVE-2017-15906'}",10,5,WWW.VIVOTE.GOV,VIVOTE.GOV,State/Local Govt,Non-Federal Agency,Election System of the Virgin Islands,St Croix,VI,(blank)
7651,0,set(),0,0,WWW.VOA.GOV,VOA.GOV,Federal Agency - Executive,Broadcasting Board of Governors,VOA,Washington,DC,(blank)
7652,0,set(),0,0,WWW.VOLCANO.GOV,VOLCANO.GOV,Federal Agency - Executive,Department of the Interior,US Geological Survey/Volcano Science Center,Vancouver,WA,(blank)
7653,0,set(),0,0,WWW.VOLUNTEER.GOV,VOLUNTEER.GOV,Federal Agency - Executive,Department of the Interior,Department of the Interior,Reston,VA,(blank)
